Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - BL - 'Choose how BitLocker-protected fixed  drives can be recovered: Allow data recovery agent,"This policy setting allows you to control how BitLocker-protected fixed data drives are recovered in the absence of the required credentials. This policy setting is applied when you turn on BitLocker. The ""Allow data recovery agent"" check box is used to specify whether a Data Recovery Agent can be used with BitLocker-protected fixed data drives. Before a Data Recovery Agent can be used it must be added from the Public Key Policies item in either the Group Policy Management Console or the Local Group Policy Editor. Consult the BitLocker Drive Encryption Deployment Guide on Microsoft TechNet for more information about adding Data Recovery Agents. The recommended state for this setting is: Enabled: True.",Enabled: True,Complex,DRA support for fixed drives requires on-premises AD DRA certificates. Not applicable in pure cloud (Intune/Azure AD) environments. Leave disabled unless DRA infrastructure exists.
CISv4 - WIN - BL - Allow Warning For Other Disk Encryption: Allow  Standard User Encryption,"This setting allows Admins to enforce ""Require Device Encryption"" policy for scenarios where policy is pushed while current logged-on user is non-admin/standard user. This policy is tied to ""Allow Warning For Other Disk Encryption"" policy being set to ""0"", i.e, Silent encryption is enforced. If ""Allow Warning For Other Disk Encryption"" isn't set, or is set to ""1"", ""Require Device Encryption"" policy won't try to encrypt drive(s) if a standard user is the current logged-on user in the system. The recommended state for this setting is: Enabled.",Enabled,Moderate,"Allowing standard users to enable BitLocker without admin involvement streamlines deployment in SMB environments with limited IT resources. Evaluate whether silent encryption (no user prompt) is preferred; if so, set Allow Standard User Encryption to Block."
CISv4 - WIN - BL - Allow Warning For Other Disk Encryption,"This setting allows Admin to disable all UI (notification for encryption and warning prompt for other disk encryption) and turn on encryption on the user machines silently.When you disable the warning prompt, the OS drive's recovery key will back up to the user's Microsoft Entra account. When you allow the warning prompt, the user who receives the prompt can select where to back up the OS drive's recovery key. The endpoint for a fixed data drive's backup is chosen in the following order: 1. The user's Windows Server Active Directory Domain Services account. 2. The user's Microsoft Entra account. 3. The user's personal OneDrive (MDM/MAM only). Encryption will wait until one of these three locations backs up successfully. The recommended state for this setting is: Disabled.",Disabled,Moderate,"Disabling the warning prompt for other disk encryption enables silent BitLocker deployment. Required for Autopilot and zero-touch enrollment scenarios. Confirm no third-party disk encryption (e.g., VeraCrypt) is in use before enforcing."
CISv4 - WIN - BL - 'Choose drive encryption method and cipher  strength  for operating system drives,This policy setting determines which encryption method should be used for operating system drives. The recommended state for this setting is: XTS-AES 128-bit (default) or XTS-AES 256-bit,XTS-AES 128-bit (default) or XTS-AES 256-bit,Moderate,XTS-AES 256-bit provides the strongest protection for the OS drive and is the CIS recommendation. No valid operational reason to downgrade in a managed SMB environment. Deviation should be documented with a specific technical justification.
CISv4 - WIN - BL - Choose drive encryption method and cipher  strength  for removable data drives,This policy setting determines which encryption method should be used for operating system drives. The recommended state for this setting is: XTS-AES 128-bit or (higher),XTS-AES 128-bit or (higher),Moderate,"XTS-AES 128-bit is the CIS-recommended cipher for removable drives. Note: XTS-AES is not compatible with older Windows versions or non-Windows systems reading the drive. If cross-platform or cross-version USB access is required, consider AES-CBC 128-bit instead."
CISv4 - WIN - BL - Choose drive encryption method and cipher  strength fixed data drives,This policy setting determines which encryption method should be used for fixed data drives. The recommended state for this setting is: XTS-AES 128-bit (default) or XTS-AES 256-bit,XTS-AES 128-bit (default) or XTS-AES 256-bit,Moderate,XTS-AES 128-bit (or higher) is the CIS-recommended cipher for fixed data drives. Only deviate if compatibility with legacy tooling requires a different algorithm. Document cipher choice and review annually.
CISv4 - WIN - BL - Choose how BitLocker-protected  operating system drives can be recovered: Allow data recovery  agent,"This policy setting allows you to control how BitLocker-protected operating system drives are recovered in the absence of the required startup key information. This policy setting is applied when you turn on BitLocker. The ""Allow certificate-based data recovery agent"" check box is used to specify whether a Data Recovery Agent can be used with BitLocker-protected operating system drives. Before a Data Recovery Agent can be used it must be added from the Public Key Policies item in either the Group Policy Management Console or the Local Group Policy Editor. Consult the BitLocker Drive Encryption Deployment Guide on Microsoft TechNet for more information about adding Data Recovery Agents. The recommended state for this setting is: Enabled: False.",Enabled: False,Complex,BitLocker OS drive recovery options are critical for business continuity. Ensure recovery keys are escrowed to Azure AD before enforcing. Test recovery procedure in a lab before broad deployment.
CISv4 - WIN - BL - Choose how BitLocker-protected  operating system drives can be recovered: Recovery Key,"This policy setting allows you to control how BitLocker-protected operating system drives are recovered in the absence of the required startup key information. This policy setting is applied when you turn on BitLocker. In ""Configure user storage of BitLocker recovery information"" select whether users are allowed, required, or not allowed to generate a 48-digit recovery password or a 256-bit recovery key. The recommended state for this setting is: Enabled: Do not allow 256-bit recovery key.",Enabled: Do not allow 256-bit recovery key,Complex,"Controlling whether recovery keys are displayed or printed limits exposure. For SMBs using Intune/Azure AD, recovery keys are escrowed automatically to Azure AD — this is the preferred recovery path; disable user-visible key display unless needed."
CISv4 - WIN - BL - Choose how BitLocker-protected  operating system drives can be recovered: Recovery Password,"This policy setting allows you to control how BitLocker-protected operating system drives are recovered in the absence of the required startup key information. This policy setting is applied when you turn on BitLocker. In ""Configure user storage of BitLocker recovery information"" select whether users are allowed, required, or not allowed to generate a 48-digit recovery password or a 256-bit recovery key. The recommended state for this setting is: Enabled: Require 48-digit recovery password.",Enabled: Require 48-digit recovery password,Complex,"Recovery passwords provide a 48-digit fallback for OS drive recovery. Requiring the password to be generated ensures users always have a recovery path. For Intune-managed devices, passwords are stored in Azure AD; disable user-printable passwords and rely on IT-retrieved keys."
CISv4 - WIN - BL - Choose how BitLocker-protected  operating system drives can be recovered,This policy setting allows you to control how BitLocker-protected operating system drives are recovered in the absence of the required startup key information. This policy setting is applied when you turn on BitLocker. The recommended state for this setting is: Enabled,Enabled,Moderate,BitLocker OS drive recovery options are critical for business continuity. Ensure recovery keys are escrowed to Azure AD before enforcing. Test recovery procedure in a lab before broad deployment.
