Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - L1 - Access Credential Manager As Trusted Caller,,No One / Empty,Moderate,Restricting Credential Manager access is low-friction for most SMB users. Only deviate if a specific SSO or password manager integration requires this privilege.
CISv4 - WIN - L1 - Access From Network,"This policy setting allows other users on the network to connect to the computer and is required by various network protocols that include Server Message Block (SMB)-based protocols, NetBIOS, Common Internet File System (CIFS), and Component Object Model Plus (COM+). The recommended state for this setting is: *S-1-5-32-544 and *S-1-5-32-555 (Administrators, Remote Desktop Users).","*S-1-5-32-544 and *S-1-5-32-555 (Administrators, Remote Desktop Users)",Simple,Restricting network logon rights to Administrators and Remote Desktop Users is correct for most SMBs. Deviating would only be needed if a specific service account or legacy app requires broader network access — document the exception and scope it tightly.
CISv4 - WIN - L1 - Account Management Audit Application Group  Management',"This policy setting allows you to audit events generated by changes to application groups such as the following: • Application group is created, changed, or deleted. • Member is added or removed from an application group. Application groups are utilized by Windows Authorization Manager, which is a flexible framework created by Microsoft for integrating role-based access control (RBAC) into applications. More information on Windows Authorization Manager is available at MSDN - Windows Authorization Manager. The recommended state for this setting is: Success and Failure",Success and Failure,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Accounts: Enable Guest account status,This policy setting determines whether the Guest account is enabled or disabled. The Guest account allows unauthenticated network users to gain access to the system. The recommended state for this setting is: Disabled.,Disabled,Simple,The Guest account should always be disabled in managed SMB environments. No legitimate use case justifies enabling it when Intune manages device access.
CISv4 - WIN - L1 - Accounts: Limit local account use of blank  passwords to console logon only',"This policy setting determines whether local accounts that are not password protected can be used to log on from locations other than the physical computer console. If you enable this policy setting, local accounts that have blank passwords will not be able to log on to the network from remote client computers. Such accounts will only be able to log on at the keyboard of the computer. The recommended state for this setting is: Enabled.",Enabled,Simple,Allowing blank passwords only at the console is a foundational control with no meaningful operational downside. Only a kiosk with a documented exception process would warrant deviation.
CISv4 - WIN - L1 - Accounts: Rename administrator account,"The built-in local administrator account is a well-known account name that attackers will target. It is recommended to choose another name for this account, and to avoid names that denote administrative or elevated access accounts. Be sure to also change the default description for the local administrator (through the Computer Management console).", (configured value),Simple,Renaming built-in accounts is a low-effort hardening step. The policy applies the rename via Intune. No operational justification exists to skip this; deviation only increases attack surface for local account brute-force.
CISv4 - WIN - L1 - Accounts: Rename guest account,"The built-in local guest account is another well-known name to attackers. It is recommended to rename this account to something that does not indicate its purpose. Even if you disable this account, which is recommended, ensure that you rename it for added security", (configured value),Simple,Renaming built-in accounts is a low-effort hardening step. The policy applies the rename via Intune. No operational justification exists to skip this; deviation only increases attack surface for local account brute-force.
CISv4 - WIN - L1 - Act As Part Of The Operating System,This policy setting allows a process to assume the identity of any user and thus gain access to the resources that the user is authorized to access.,No One / Empty,Simple,This privilege should be granted to no accounts (empty) in virtually all SMB environments. No legitimate user or standard service requires it; deviation is a significant security risk.
CISv4 - WIN - L1 - Allow Auto Connect To Wi Fi Sense Hotspots,The recommended state for this setting is: Block.,Block,Simple,"'allow auto connect to wi fi sense hotspots' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Allow Auto Update,,Option 2 (inferred from payload),Simple,"Windows Update should be managed via an Intune Update Ring policy, not this setting alone. Ensure an update ring is configured and targeting the device before changing this toggle, otherwise devices may stop receiving patches."
CISv4 - WIN - L1 - Allow Basic authentication WinRM Client,This policy setting allows you to manage whether the Windows Remote Management (WinRM) client uses Basic authentication. The recommended state for this setting is: Disabled.,Disabled,Moderate,"Disabling basic/unencrypted WinRM is critical — however, some RMM tools or legacy scripts may depend on it. Audit WinRM usage before enforcing; migrate to HTTPS/Kerberos-based WinRM."
CISv4 - WIN - L1 - Allow Basic authentication WinRM Service,,Disabled (inferred from payload),Moderate,"Disabling basic/unencrypted WinRM is critical — however, some RMM tools or legacy scripts may depend on it. Audit WinRM usage before enforcing; migrate to HTTPS/Kerberos-based WinRM."
CISv4 - WIN - L1 - Allow Behavior Monitoring,This policy setting allows you to configure behavior monitoring for Microsoft Defender Antivirus. The recommended state for this setting is: Allowed.,Allowed,Simple,"Defender settings should match the recommended state in most SMB environments. Only deviate if a third-party AV (e.g., Sophos, CrowdStrike) replaces Defender — confirm AV is active and managed."
CISv4 - WIN - L1 - Allow Clipboard Redirection,This policy setting enables or disables clipboard sharing with the Windows Sandbox. The recommended state for this setting is: Not allowed.,Not allowed,Simple,Clipboard redirection is commonly needed in RDS/remote work scenarios. Blocking may frustrate users who copy/paste between local and remote sessions. Evaluate whether dedicated VDI/RDS use justifies the risk.
CISv4 - WIN - L1 - Allow Cortana Above Lock,This policy setting determines whether or not the user can interact with Cortana using speech while the system is locked. The recommended state for this setting is: Block.,Block,Simple,Privacy-related restrictions are low-risk for SMBs. Users may notice loss of Cortana/search features. Acceptable trade-off; communicate change to users to reduce help desk calls.
CISv4 - WIN - L1 - Allow Cortana,This policy setting specifies whether Cortana is allowed on the device. The recommended state for this setting is: Block.,Block,Simple,Privacy-related restrictions are low-risk for SMBs. Users may notice loss of Cortana/search features. Acceptable trade-off; communicate change to users to reduce help desk calls.
